placement,lat,lng,altitude,speed,rpm,payload,accelleration,odometer,fuelRate,totalFuel,accelerator,brakePressure,brakeSwitch,parkingSwitch,gear,distanceTraveled,fuelConsumed,travelTime,emission,speedLimit,timestamp,brake,fuelConsumed_noRound,instFuel
"{'x': -842.838623046875, 'y': 442.90478515625, 'z': -21568.145393371582, 'heading': 0.537652850151062, 'pitch': -0.0018061675364151597, 'roll': -9.626771498005837e-05}",49.39547967367441,7.588484888075365,442.9,-0.0,600.0,24.514,"{'x': 5.87897e-05, 'y': -0.000141367549, 'z': -7.599653e-05}",10.050148,433.5,957.4374,0.0,100.0,1,1,1,0.0,0.0,1,1127.1000000000001,60,38041,0,0.0,433.5
"{'x': -842.838623046875, 'y': 442.90478515625, 'z': -21568.145393371582, 'heading': 0.537652850151062, 'pitch': -0.0018061675364151597, 'roll': -9.626771498005837e-05}",49.39547967367441,7.588484888075365,442.9,-0.0,600.0,24.514,"{'x': -0.000101897458, 'y': -0.00041764605, 'z': -9.038775e-05}",10.050148,433.5,957.437,0.0,100.0,1,1,1,0.0,0.0,2,1127.1000000000001,60,38042,0,0.0004000000000132,433.5
"{'x': -842.838623046875, 'y': 442.90478515625, 'z': -21568.145393371582, 'heading': 0.537652850151062, 'pitch': -0.0018061675364151597, 'roll': -9.626771498005837e-05}",49.39547967367441,7.588484888075365,442.9,-0.0,600.0,24.514,"{'x': -0.000282576482, 'y': -0.0009884433, 'z': 3.70189446e-05}",10.050148,433.5,957.4363,0.0,100.0,1,1,1,0.0,0.001,3,1127.1000000000001,60,38043,0,0.0011000000000649,433.5
"{'x': -842.838623046875, 'y': 442.90478515625, 'z': -21568.145393371582, 'heading': 0.537652850151062, 'pitch': -0.0018061675364151597, 'roll': -9.626771498005837e-05}",49.39547967367441,7.588484888075365,442.9,-0.0,600.0,24.514,"{'x': -0.000143332814, 'y': -0.0009153945, 'z': 7.862613e-05}",10.050148,433.5,957.4357,0.0,100.0,1,1,1,0.0,0.002,4,1127.1000000000001,60,38044,0,0.001700000000028,433.5
"{'x': -842.838623046875, 'y': 442.90478515625, 'z': -21568.145393371582, 'heading': 0.537652850151062, 'pitch': -0.0018061675364151597, 'roll': -9.626771498005837e-05}",49.39547967367441,7.588484888075365,442.9,-0.0,600.0,24.514,"{'x': -4.07970947e-05, 'y': -0.000930236536, 'z': 3.29937066e-05}",10.050148,433.5,957.4352,0.0,100.0,1,1,1,0.0,0.002,5,1127.1000000000001,60,38045,0,0.0022000000000161,433.5
"{'x': -842.838623046875, 'y': 442.9047546386719, 'z': -21568.145393371582, 'heading': 0.537652850151062, 'pitch': -0.0018061675364151597, 'roll': -9.626771498005837e-05}",49.39547967367441,7.588484888075365,442.9,-0.0,600.0,24.514,"{'x': -0.000135692375, 'y': 0.003512931, 'z': 0.000315880548}",10.050148,433.5,957.4346,0.0,100.0,1,1,1,0.0,0.003,6,1127.1000000000001,60,38046,0,0.0027999999999792,433.5
"{'x': -842.838623046875, 'y': 442.90478515625, 'z': -21568.145393371582, 'heading': 0.537652850151062, 'pitch': -0.0018061675364151597, 'roll': -9.626771498005837e-05}",49.39547967367441,7.588484888075365,442.9,-0.0,600.0,24.514,"{'x': -9.1382e-05, 'y': -0.0008348361, 'z': -9.749754e-05}",10.050148,433.5,957.434,0.0,100.0,1,1,1,0.0,0.003,7,1127.1000000000001,60,38047,0,0.003400000000056,433.5
"{'x': -842.838623046875, 'y': 442.90478515625, 'z': -21568.145393371582, 'heading': 0.537652850151062, 'pitch': -0.0018061675364151597, 'roll': -9.626771498005837e-05}",49.39547967367441,7.588484888075365,442.9,-0.0,600.0,24.514,"{'x': -0.000176707254, 'y': -0.000879988365, 'z': 1.43435591e-05}",10.050148,433.5,957.4335,0.0,100.0,1,1,1,0.0,0.004,8,1127.1000000000001,60,38048,0,0.0039000000000442,433.5
"{'x': -842.8382568359375, 'y': 442.90478515625, 'z': -21568.14340209961, 'heading': 0.5376526713371277, 'pitch': -0.0018085201736539602, 'roll': -0.00010757547715911642}",49.39547965578659,7.588484893110171,442.9,0.0,600.0,24.514,"{'x': 0.0033880393, 'y': 0.00113630854, 'z': -0.0386791453}",10.050148,398.0,957.4329,0.0,100.0,1,0,1,0.0,0.005,9,1034.8,60,38049,0,0.0045000000000072,398.0
"{'x': -842.7734375, 'y': 442.90411376953125, 'z': -21567.87847518921, 'heading': 0.5376824736595154, 'pitch': -0.001398936496116221, 'roll': -8.716079901205376e-05}",49.39547727591855,7.588485784270653,442.9,1.8,600.0,24.514,"{'x': -0.00220742146, 'y': -0.002916042, 'z': -0.6374132}",10.050648,498.18,957.4308,33.0,100.0,1,0,1,0.0005000000000006111,0.007,10,1295.268,60,38050,0,0.0066000000000485,498.18
"{'x': -842.5663452148438, 'y': 442.89544677734375, 'z': -21567.02586746216, 'heading': 0.5377131700515747, 'pitch': -0.0012465474428609014, 'roll': -5.282012716634199e-05}",49.39546961684805,7.588488631452874,442.9,4.2,882.0,24.514,"{'x': 0.05182727, 'y': -0.00856250152, 'z': -0.668737}",10.051814666666667,492.92,957.428,31.0,100.0,1,0,1,0.0016666666666669272,0.009,11,1281.592,60,38051,0,0.0094000000000278,492.92
"{'x': -842.0208435058594, 'y': 442.8746337890625, 'z': -21564.74242401123, 'heading': 0.537568211555481, 'pitch': -0.0010242247954010963, 'roll': -5.448973024613224e-05}",49.39544910442036,7.588496131214469,442.9,6.9,1411.0,24.514,"{'x': -0.03080723, 'y': -0.0009848715, 'z': -0.3657643}",10.053731333333333,492.19,957.4216,30.0,100.0,1,0,1,0.0035833333333332718,0.016,12,1279.694,60,38052,0,0.0158000000000129,492.19
"{'x': -841.2613220214844, 'y': 442.8569030761719, 'z': -21561.728229522705, 'heading': 0.5390415191650391, 'pitch': -0.0006628698320128024, 'roll': -2.629622758831829e-05}",49.39542202757443,7.588506573400012,442.9,8.0,1083.0,24.514,"{'x': -0.004090753, 'y': -0.0005635646, 'z': -0.06409527}",10.055953555555556,404.3,957.4181,0.0,100.0,1,0,3,0.005805555555555841,0.019,13,1051.18,60,38053,0,0.0193000000000438,404.3
"{'x': -840.6866760253906, 'y': 442.85369873046875, 'z': -21559.53835296631, 'heading': 0.540339469909668, 'pitch': 1.1876939424837474e-05, 'roll': -4.082935265614651e-05}",49.39540235566861,7.58851447384817,442.9,8.5,1031.0,24.514,"{'x': 0.00244809454, 'y': -0.0133670662, 'z': -0.309746832}",10.058314666666666,492.35,957.415,29.0,100.0,1,0,3,0.00816666666666599,0.022,14,1280.1100000000001,60,38054,0,0.0224000000000614,492.35
"{'x': -839.6527099609375, 'y': 442.85369873046875, 'z': -21555.810218811035, 'heading': 0.5428887605667114, 'pitch': 0.00033088470809161663, 'roll': -2.0870022581220837e-06}",49.39536886542288,7.5885286892004835,442.9,10.7,1295.0,24.514,"{'x': -0.00456859358, 'y': -0.0139200762, 'z': -0.470502824}",10.061286888888889,518.5699999999999,957.4078,37.0,100.0,1,0,3,0.011138888888888587,0.03,15,1348.282,60,38055,0,0.0296000000000731,518.5699999999999
"{'x': -838.2637634277344, 'y': 442.8465576171875, 'z': -21551.132053375244, 'heading': 0.5462531447410583, 'pitch': -0.000211508187931031, 'roll': -7.744675531284884e-05}",49.39532684093998,7.588547784957098,442.8,12.9,1290.0,24.514,"{'x': -0.00143628777, 'y': 0.0163715072, 'z': -0.25684163}",10.064870222222222,409.79,957.4009,0.0,100.0,1,0,3,0.014722222222221859,0.037,16,1065.4540000000002,60,38056,0,0.0365000000000463,409.79
"{'x': -837.1444091796875, 'y': 442.834716796875, 'z': -21547.633937835693, 'heading': 0.5490748882293701, 'pitch': -0.000507141521666199, 'roll': -0.00016487317043356597}",49.39529541697717,7.588563174258107,442.8,13.4,966.0,24.514,"{'x': -0.003611579, 'y': -0.00453759544, 'z': -0.182818279}",10.068592444444445,536.84,957.3987,42.0,100.0,1,0,5,0.018444444444444485,0.039,17,1395.784,60,38057,0,0.0387000000000625,536.84
"{'x': -835.2358703613281, 'y': 442.80596923828125, 'z': -21542.119758605957, 'heading': 0.5537269115447998, 'pitch': -0.0006599859916605055, 'roll': -7.562537211924791e-05}",49.39524588248894,7.588589413563863,442.8,15.6,1125.0,24.514,"{'x': -0.008536537, 'y': -0.0137282861, 'z': -0.5256326}",10.072925777777778,553.56,957.3904,47.0,100.0,1,0,5,0.022777777777777786,0.047,18,1439.2559999999999,60,38058,0,0.0470000000000254,553.56
